date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:45	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Apr%202023%2008:14:46%20GMT	https://easiblock.com/robots.txt		(from )
13:44:45	53763/53763	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Jul%202022%2020:37:48%20GMT	https://easiblock.com/html/omexo/	C:/My%20Web%20Sites/Teamplte/easiblock.com/html/omexo/index.html	(from )
13:44:45	3220/3220	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Oct%202021%2000:52:54%20GMT	https://easiblock.com/html/omexo/assets/images/favicon.png	C:/My%20Web%20Sites/Teamplte/easiblock.com/html/omexo/assets/images/favicon.png	(from https://easiblock.com/html/omexo/)
13:44:46	148405/148405	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Jun%202022%2017:09:26%20GMT	https://easiblock.com/html/omexo/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Teamplte/easiblock.com/html/omexo/assets/css/bootstrap.min.css	(from https://easiblock.com/html/omexo/)
13:44:46	3378/3378	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202019%2020:43:44%20GMT	https://easiblock.com/html/omexo/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/Teamplte/easiblock.com/html/omexo/assets/css/owl.carousel.min.css	(from https://easiblock.com/html/omexo/)
13:44:46	6951/6951	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Jun%202017%2019:11:48%20GMT	https://easiblock.com/html/omexo/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Teamplte/easiblock.com/html/omexo/assets/css/magnific-popup.css	(from https://easiblock.com/html/omexo/)
13:44:46	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202016%2015:52:54%20GMT	https://easiblock.com/html/omexo/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/Teamplte/easiblock.com/html/omexo/assets/css/font-awesome.min.css	(from https://easiblock.com/html/omexo/)
13:44:46	3366/3366	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20Nov%202021%2017:16:50%20GMT	https://easiblock.com/html/omexo/assets/css/meanmenu.css	C:/My%20Web%20Sites/Teamplte/easiblock.com/html/omexo/assets/css/meanmenu.css	(from https://easiblock.com/html/omexo/)
13:44:47	72259/72259	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Sep%202016%2000:45:38%20GMT	https://easiblock.com/html/omexo/assets/css/animate.css	C:/My%20Web%20Sites/Teamplte/easiblock.com/html/omexo/assets/css/animate.css	(from https://easiblock.com/html/omexo/)
13:44:47	84890/84890	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2020:43:10%20GMT	https://easiblock.com/html/omexo/assets/css/style.css	C:/My%20Web%20Sites/Teamplte/easiblock.com/html/omexo/assets/css/style.css	(from https://easiblock.com/html/omexo/)
